C	target_system	training_systems
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
100	FEM_long	FEM_long
1	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
10	FEM_long	FEM_long
1	FEM_long	FEM_long
