target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	4.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	70.3300	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	3.8588	3.8588
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	8.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	122.5700	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	5.9768	5.9768
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	16.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	171.9300	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	6.7544	6.7544
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	32.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	173.8100	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	64.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	173.8100	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	inf	0.0000	0.0000	882.0700	19.2000	26336.2900	173.8100	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	4.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	32.9800	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	1.9642	1.9642
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	8.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	85.2200	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	4.2058	4.2058
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	16.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	134.5800	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	6.3216	6.3216
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	32.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	136.4600	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.5911	7.5911
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	64.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	136.4600	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.5911	7.5911
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	inf	0.0000	0.0000	882.0700	19.2000	26336.2900	136.4600	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.5911	7.5911
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	8.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	52.2400	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	2.5391	2.5391
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	16.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	101.6000	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	6.4307	6.4307
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	32.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	103.4800	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.8425	7.8425
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	64.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	103.4800	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.8425	7.8425
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	inf	0.0000	0.0000	882.0700	19.2000	26336.2900	103.4800	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.8425	7.8425
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	7.0000	8.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	23.8300	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	1.2314	1.2314
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	7.0000	16.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	73.1900	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	6.4771	6.4771
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	7.0000	32.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	75.0700	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.9408	7.9408
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	7.0000	64.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	75.0700	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.9408	7.9408
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	7.0000	inf	0.0000	0.0000	882.0700	19.2000	26336.2900	75.0700	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.9408	7.9408
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	9.0000	16.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	49.3600	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	6.1767	6.1767
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	9.0000	32.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	51.2400	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.6451	7.6451
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	9.0000	64.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	51.2400	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.6451	7.6451
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	9.0000	inf	0.0000	0.0000	882.0700	19.2000	26336.2900	51.2400	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	7.6451	7.6451
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	11.0000	16.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	30.1800	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	5.3284	5.3284
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	11.0000	32.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	32.0600	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	6.8162	6.8162
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	11.0000	64.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	32.0600	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	6.8162	6.8162
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	11.0000	inf	0.0000	0.0000	882.0700	19.2000	26336.2900	32.0600	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	6.8162	6.8162
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	13.0000	16.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	15.6600	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	3.8250	3.8250
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	13.0000	32.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	17.5400	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	5.3662	5.3662
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	13.0000	64.0000	0.0000	0.0000	882.0700	19.2000	26336.2900	17.5400	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	5.3662	5.3662
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	13.0000	inf	0.0000	0.0000	882.0700	19.2000	26336.2900	17.5400	64.0663	0.0000	0.0000	3.4120	0.4020	194.3756	5.3662	5.3662
