C	epsilon	score	target_system	training_systems
1.0000	0.0500	0.8184	UFZ_Phenomenex	LIFE_old
1.0000	0.1000	0.8174	UFZ_Phenomenex	LIFE_old
1.0000	0.1500	0.8182	UFZ_Phenomenex	LIFE_old
1.0000	0.2500	0.8114	UFZ_Phenomenex	LIFE_old
1.0000	0.5000	0.7673	UFZ_Phenomenex	LIFE_old
1.0000	1.0000	0.5874	UFZ_Phenomenex	LIFE_old
1.0000	1.5000	0.2038	UFZ_Phenomenex	LIFE_old
1.0000	2.0000	-0.3778	UFZ_Phenomenex	LIFE_old
10.0000	0.0100	0.8241	UFZ_Phenomenex	LIFE_old
10.0000	0.0250	0.8231	UFZ_Phenomenex	LIFE_old
10.0000	0.0500	0.8219	UFZ_Phenomenex	LIFE_old
10.0000	0.1000	0.8200	UFZ_Phenomenex	LIFE_old
10.0000	0.1500	0.8192	UFZ_Phenomenex	LIFE_old
10.0000	0.2500	0.8160	UFZ_Phenomenex	LIFE_old
10.0000	0.5000	0.7775	UFZ_Phenomenex	LIFE_old
10.0000	1.0000	0.6249	UFZ_Phenomenex	LIFE_old
10.0000	1.5000	0.2528	UFZ_Phenomenex	LIFE_old
10.0000	2.0000	-0.3699	UFZ_Phenomenex	LIFE_old
100.0000	0.0100	0.8148	UFZ_Phenomenex	LIFE_old
100.0000	0.0250	0.8155	UFZ_Phenomenex	LIFE_old
100.0000	0.0500	0.8163	UFZ_Phenomenex	LIFE_old
100.0000	0.1000	0.8175	UFZ_Phenomenex	LIFE_old
100.0000	0.1500	0.8168	UFZ_Phenomenex	LIFE_old
100.0000	0.2500	0.8126	UFZ_Phenomenex	LIFE_old
100.0000	0.5000	0.7781	UFZ_Phenomenex	LIFE_old
100.0000	1.0000	0.6249	UFZ_Phenomenex	LIFE_old
100.0000	1.5000	0.2528	UFZ_Phenomenex	LIFE_old
100.0000	2.0000	-0.3699	UFZ_Phenomenex	LIFE_old
0.0010	0.0100	-0.1145	UFZ_Phenomenex	LIFE_old
0.0010	0.0250	-0.1144	UFZ_Phenomenex	LIFE_old
0.0010	0.0500	-0.1190	UFZ_Phenomenex	LIFE_old
0.0010	0.1000	-0.1336	UFZ_Phenomenex	LIFE_old
0.0010	0.1500	-0.1295	UFZ_Phenomenex	LIFE_old
0.0010	0.2500	-0.1182	UFZ_Phenomenex	LIFE_old
0.0010	0.5000	-0.0460	UFZ_Phenomenex	LIFE_old
0.0010	1.0000	-0.0969	UFZ_Phenomenex	LIFE_old
0.0010	1.5000	-0.1620	UFZ_Phenomenex	LIFE_old
0.0010	2.0000	-0.4536	UFZ_Phenomenex	LIFE_old
0.0100	0.0100	-0.0566	UFZ_Phenomenex	LIFE_old
0.0100	0.0250	-0.0589	UFZ_Phenomenex	LIFE_old
0.0100	0.0500	-0.0622	UFZ_Phenomenex	LIFE_old
0.0100	0.1000	-0.0726	UFZ_Phenomenex	LIFE_old
0.0100	0.1500	-0.0778	UFZ_Phenomenex	LIFE_old
