C	target_system	training_systems
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
10	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
1	LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex
