C	target_system	training_systems
10	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
100	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
1000	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
100	UFZ_Phenomenex	UFZ_Phenomenex
100	UFZ_Phenomenex	UFZ_Phenomenex
0.1	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
100	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
0.1	UFZ_Phenomenex	UFZ_Phenomenex
0.1	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
0.1	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
0.1	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
100	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
0.001	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
100	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
10	UFZ_Phenomenex	UFZ_Phenomenex
0.1	UFZ_Phenomenex	UFZ_Phenomenex
1	UFZ_Phenomenex	UFZ_Phenomenex
