C	epsilon	target_system	training_systems
1.0000	0.0100	MPI_Symmetry	MPI_Symmetry
10.0000	1.5000	MPI_Symmetry	MPI_Symmetry
0.0010	2.0000	MPI_Symmetry	MPI_Symmetry
0.0010	2.0000	MPI_Symmetry	MPI_Symmetry
1.0000	0.5000	MPI_Symmetry	MPI_Symmetry
0.0010	2.0000	MPI_Symmetry	MPI_Symmetry
0.0010	2.0000	MPI_Symmetry	MPI_Symmetry
10.0000	0.0100	MPI_Symmetry	MPI_Symmetry
1.0000	2.0000	MPI_Symmetry	MPI_Symmetry
0.1000	0.0100	MPI_Symmetry	MPI_Symmetry
0.0010	2.0000	MPI_Symmetry	MPI_Symmetry
10.0000	2.0000	MPI_Symmetry	MPI_Symmetry
0.1000	1.0000	MPI_Symmetry	MPI_Symmetry
0.0010	1.5000	MPI_Symmetry	MPI_Symmetry
1.0000	0.1500	MPI_Symmetry	MPI_Symmetry
10.0000	2.0000	MPI_Symmetry	MPI_Symmetry
10.0000	2.0000	MPI_Symmetry	MPI_Symmetry
1.0000	2.0000	MPI_Symmetry	MPI_Symmetry
0.0010	2.0000	MPI_Symmetry	MPI_Symmetry
