C	epsilon	target_system	training_systems
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
100	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
10	2	MTBLS19	RIKEN;LIFE_new;MTBLS20;FEM_long
