C	epsilon	target_system	training_systems
100	0.0001	RIKEN	RIKEN
10	0.0001	RIKEN	RIKEN
100	0.0001	RIKEN	RIKEN
100	0.0001	RIKEN	RIKEN
100	0.0001	RIKEN	RIKEN
100	0.0001	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
100	0.0001	RIKEN	RIKEN
100	0.0001	RIKEN	RIKEN
10	0.0001	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
100	0.0001	RIKEN	RIKEN
100	0.0001	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0010	RIKEN	RIKEN
1000	0.0005	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0010	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0010	RIKEN	RIKEN
1	0.0050	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
1	0.0005	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
10	0.0500	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
10	0.0250	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
10	0.0500	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
10	0.0500	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
10	0.0250	RIKEN	RIKEN
1	0.0050	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0010	RIKEN	RIKEN
1	0.0010	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1000	0.0100	RIKEN	RIKEN
10	0.0001	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
10	0.0250	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
10	0.0010	RIKEN	RIKEN
1	0.0050	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
10	0.0001	RIKEN	RIKEN
10	0.0001	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0005	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0001	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0500	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0100	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
100	0.0001	RIKEN	RIKEN
1	0.0250	RIKEN	RIKEN
