C	score	target_system	training_systems
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7169	LIFE_old	Eawag_XBridgeC18
0.0100	0.7169	LIFE_old	Eawag_XBridgeC18
0.1000	0.8275	LIFE_old	Eawag_XBridgeC18
1.0000	0.8509	LIFE_old	Eawag_XBridgeC18
10.0000	0.8488	LIFE_old	Eawag_XBridgeC18
100.0000	0.8332	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7571	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7175	LIFE_old	Eawag_XBridgeC18
0.0100	0.7175	LIFE_old	Eawag_XBridgeC18
0.1000	0.8223	LIFE_old	Eawag_XBridgeC18
1.0000	0.8494	LIFE_old	Eawag_XBridgeC18
10.0000	0.8500	LIFE_old	Eawag_XBridgeC18
100.0000	0.8319	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7631	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7175	LIFE_old	Eawag_XBridgeC18
0.0100	0.7175	LIFE_old	Eawag_XBridgeC18
0.1000	0.8223	LIFE_old	Eawag_XBridgeC18
1.0000	0.8494	LIFE_old	Eawag_XBridgeC18
10.0000	0.8500	LIFE_old	Eawag_XBridgeC18
100.0000	0.8319	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7631	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7169	LIFE_old	Eawag_XBridgeC18
0.0100	0.7169	LIFE_old	Eawag_XBridgeC18
0.1000	0.8275	LIFE_old	Eawag_XBridgeC18
1.0000	0.8509	LIFE_old	Eawag_XBridgeC18
10.0000	0.8488	LIFE_old	Eawag_XBridgeC18
100.0000	0.8332	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7571	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7169	LIFE_old	Eawag_XBridgeC18
0.0100	0.7169	LIFE_old	Eawag_XBridgeC18
0.1000	0.8275	LIFE_old	Eawag_XBridgeC18
1.0000	0.8509	LIFE_old	Eawag_XBridgeC18
10.0000	0.8488	LIFE_old	Eawag_XBridgeC18
100.0000	0.8332	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7571	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7175	LIFE_old	Eawag_XBridgeC18
0.0100	0.7175	LIFE_old	Eawag_XBridgeC18
0.1000	0.8223	LIFE_old	Eawag_XBridgeC18
1.0000	0.8494	LIFE_old	Eawag_XBridgeC18
10.0000	0.8500	LIFE_old	Eawag_XBridgeC18
100.0000	0.8319	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7631	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7169	LIFE_old	Eawag_XBridgeC18
0.0100	0.7169	LIFE_old	Eawag_XBridgeC18
0.1000	0.8275	LIFE_old	Eawag_XBridgeC18
1.0000	0.8509	LIFE_old	Eawag_XBridgeC18
10.0000	0.8488	LIFE_old	Eawag_XBridgeC18
100.0000	0.8332	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7571	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7175	LIFE_old	Eawag_XBridgeC18
0.0100	0.7175	LIFE_old	Eawag_XBridgeC18
0.1000	0.8223	LIFE_old	Eawag_XBridgeC18
1.0000	0.8494	LIFE_old	Eawag_XBridgeC18
10.0000	0.8500	LIFE_old	Eawag_XBridgeC18
100.0000	0.8319	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7631	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7169	LIFE_old	Eawag_XBridgeC18
0.0100	0.7169	LIFE_old	Eawag_XBridgeC18
0.1000	0.8275	LIFE_old	Eawag_XBridgeC18
1.0000	0.8509	LIFE_old	Eawag_XBridgeC18
10.0000	0.8488	LIFE_old	Eawag_XBridgeC18
100.0000	0.8332	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7571	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
0.0100	0.7086	LIFE_old	Eawag_XBridgeC18
0.1000	0.8269	LIFE_old	Eawag_XBridgeC18
1.0000	0.8466	LIFE_old	Eawag_XBridgeC18
10.0000	0.8459	LIFE_old	Eawag_XBridgeC18
100.0000	0.8333	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7533	LIFE_old	Eawag_XBridgeC18
0.0010	0.7175	LIFE_old	Eawag_XBridgeC18
0.0100	0.7175	LIFE_old	Eawag_XBridgeC18
0.1000	0.8223	LIFE_old	Eawag_XBridgeC18
1.0000	0.8494	LIFE_old	Eawag_XBridgeC18
10.0000	0.8500	LIFE_old	Eawag_XBridgeC18
100.0000	0.8319	LIFE_old	Eawag_XBridgeC18
1000.0000	0.7631	LIFE_old	Eawag_XBridgeC18
0.0010	0.7086	LIFE_old	Eawag_XBridgeC18
